Borough,Longitude,Latitude,LatinSpecies
Bronx,-73.89341800000001,40.820989000000004,GINKGO BILOBA
Queens,-73.795784,40.733609,ACER PLATANOIDES
Bronx,-73.90562,40.84563,GLEDITSIA TRIACANTHOS
Queens,-73.806286,40.673426,SOPHORA JAPONICA
Manhattan,-73.94657,40.784026000000004,QUERCUS RUBRA
Brooklyn,-73.984709,40.684477,PLATANUS ACERIFOLIA
Queens,-73.92108,40.745219,QUERCUS PALUSTRIS
Bronx,-73.84208199999999,40.896223,PLATANUS ACERIFOLIA
Queens,-73.805901,40.740434,PLANTING SITE
Queens,-73.751795,40.735857,ACER PLATANOIDES
Brooklyn,-73.912022,40.638899,ACER PLATANOIDES
Queens,-73.857192,40.674904,ACER RUBRUM
Brooklyn,-73.937737,40.725101,ACER SACCHARUM
Brooklyn,-73.931881,40.66884,ACER RUBRUM
Staten Island,-74.105694,40.57517,PLATANUS ACERIFOLIA
Queens,-73.817791,40.713556,PLATANUS ACERIFOLIA
Bronx,-73.899521,40.870742,GLEDITSIA TRIACANTHOS
Bronx,1.0,1.0,GLEDITSIA TRIACANTHOS
Manhattan,-73.97618,40.780993,UNKNOWN LIVE TREES 
Brooklyn,-73.935225,40.692481,SOPHORA JAPONICA
Brooklyn,-74.020252,40.638263,FRAXINUS PENNSYLVANICA
Staten Island,-74.19426700000001,40.541007,GLEDITSIA TRIACANTHOS
Queens,1.0,1.0,PLATANUS ACERIFOLIA
Bronx,-73.84557,40.892894,ACER PLATANOIDES
Queens,-73.736486,40.730524,PYRUS CALLERYANA
Brooklyn,-73.910158,40.606587,CORNUS MAS
Staten Island,-74.174245,40.556498,PLATANUS ACERIFOLIA
Queens,1.0,1.0,QUERCUS PALUSTRIS
Brooklyn,-73.981247,40.660821999999996,QUERCUS RUBRA
Staten Island,-74.17800600000001,40.559488,QUERCUS PALUSTRIS
Staten Island,-74.165944,40.618297,ACER PLATANOIDES
Brooklyn,-73.874868,40.669484999999995,FRAXINUS PENNSYLVANICA
Staten Island,-74.116546,40.626512,ACER SACCHARUM
Queens,-73.841018,40.720237,PLATANUS ACERIFOLIA
Queens,-73.811821,40.72343,ACER PLATANOIDES
Queens,-73.846152,40.777765,QUERCUS PALUSTRIS
Queens,-73.737523,40.766040999999994,ACER PLATANOIDES
Queens,-73.73589399999999,40.735481,ACER SACCHARINUM
Staten Island,-74.127975,40.570685,PLATANUS ACERIFOLIA
Brooklyn,1.0,1.0,ACER PLATANOIDES
Manhattan,-73.957757,40.764377,GLEDITSIA TRIACANTHOS
Queens,-73.760573,40.719574,ACER PLATANOIDES
Queens,-73.81146600000001,40.687222,PLATANUS ACERIFOLIA
Queens,-73.89778299999999,40.744378000000005,UNKNOWN LIVE TREES 
Manhattan,-73.966139,40.763822,GINKGO BILOBA
Brooklyn,-73.993172,40.699678000000006,ACER PLATANOIDES
Queens,-73.856314,40.661809000000005,QUERCUS PALUSTRIS
Brooklyn,-73.994557,40.692242,ACER SACCHARUM
Brooklyn,-73.98469899999999,40.619531,PLATANUS ACERIFOLIA
Staten Island,-74.169684,40.608292999999996,ACER SACCHARINUM
Queens,-73.80408800000001,40.687553,TILIA CORDATA
Staten Island,-74.156449,40.531731,QUERCUS PALUSTRIS
Queens,-73.784612,40.725017,ACER PLATANOIDES
Queens,-73.799941,40.779446,ACER PLATANOIDES
Queens,-73.912711,40.774253,GINKGO BILOBA
Queens,-73.885587,40.756766999999996,PLATANUS ACERIFOLIA
Queens,-73.90093399999999,40.702329,ACER SACCHARUM
Brooklyn,-73.984668,40.663191,GLEDITSIA TRIACANTHOS
Queens,-73.822478,40.682784000000005,ACER PLATANOIDES
Staten Island,-74.104213,40.637218,PLATANUS ACERIFOLIA
Queens,-73.770246,40.663598,ACER PLATANOIDES
Queens,-73.79555500000001,40.677858,UNKNOWN STUMP
Brooklyn,-73.955718,40.639203,PLATANUS ACERIFOLIA
Queens,-73.888231,40.750477000000004,ACER RUBRUM
Queens,-73.729861,40.763721999999994,ACER PLATANOIDES
Staten Island,-74.13899,40.565785,PYRUS CALLERYANA
Manhattan,-73.982936,40.738741,GINKGO BILOBA
Staten Island,-74.1738,40.535609,PYRUS CALLERYANA
Brooklyn,1.0,1.0,PLATANUS ACERIFOLIA
Staten Island,-74.07573599999999,40.60862,PYRUS CALLERYANA
Queens,-73.781411,40.752889,ACER SACCHARINUM
Queens,-73.87571700000001,40.703095000000005,UNKNOWN LIVE TREES 
Queens,-73.81346500000001,40.687134,PLATANUS ACERIFOLIA
Queens,-73.820177,40.748582,ACER SACCHARUM
Staten Island,-74.079729,40.646863,PLATANUS ACERIFOLIA
Queens,1.0,1.0,ACER PLATANOIDES
Brooklyn,-73.966791,40.692886,TILIA CORDATA
Queens,-73.838135,40.774702000000005,GLEDITSIA TRIACANTHOS
Brooklyn,-74.03529499999999,40.627499,QUERCUS PALUSTRIS
Queens,-73.845111,40.731211,PLATANUS ACERIFOLIA
